epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,1444.96,1.60432,1.59937,1.63437,0.45968,0.57394,0.52683,0.17695,2.34085,2.00504,2.36557,2.71284e-05,2.71284e-05,2.71284e-05
135,1455.74,1.6357,1.63723,1.65064,0.49668,0.57212,0.53078,0.1784,2.34184,2.0204,2.37321,2.56632e-05,2.56632e-05,2.56632e-05
136,1466.29,1.64893,1.64859,1.64879,0.52334,0.50298,0.50508,0.17813,2.35524,1.98824,2.38449,2.4198e-05,2.4198e-05,2.4198e-05
137,1477.01,1.60541,1.62035,1.65368,0.47764,0.55486,0.53207,0.18444,2.35978,1.9748,2.39653,2.27328e-05,2.27328e-05,2.27328e-05
138,1487.66,1.6023,1.62865,1.63967,0.5025,0.54288,0.54062,0.19592,2.35547,2.01073,2.40045,2.12676e-05,2.12676e-05,2.12676e-05
139,1498.18,1.608,1.66026,1.63861,0.5405,0.54,0.54682,0.19974,2.37383,2.00679,2.43147,1.98024e-05,1.98024e-05,1.98024e-05
140,1508.86,1.58835,1.61301,1.62837,0.47649,0.62808,0.57507,0.20848,2.37527,1.97464,2.41785,1.83372e-05,1.83372e-05,1.83372e-05
141,1518.45,1.56239,1.92816,1.719,0.37595,0.62298,0.52595,0.17194,2.39073,1.99152,2.40383,1.6872e-05,1.6872e-05,1.6872e-05
142,1527.89,1.52879,1.82475,1.69335,0.50352,0.39515,0.49878,0.16537,2.38353,2.02086,2.41706,1.54068e-05,1.54068e-05,1.54068e-05
143,1537.12,1.53372,1.74679,1.6763,0.5761,0.3897,0.4893,0.15822,2.37574,2.0665,2.426,1.39416e-05,1.39416e-05,1.39416e-05
144,1546.53,1.4855,1.66338,1.66593,0.61191,0.38471,0.48988,0.1602,2.34689,2.05524,2.40241,1.24764e-05,1.24764e-05,1.24764e-05
145,1555.93,1.46828,1.63753,1.6527,0.59027,0.39278,0.50798,0.17449,2.35251,2.01117,2.39561,1.10112e-05,1.10112e-05,1.10112e-05
146,1565.53,1.49178,1.64793,1.67534,0.3538,0.59311,0.51728,0.17723,2.35245,1.99951,2.39488,9.546e-06,9.546e-06,9.546e-06
147,1575.02,1.45229,1.62365,1.62748,0.47932,0.53988,0.53908,0.17918,2.3611,1.97933,2.39708,8.0808e-06,8.0808e-06,8.0808e-06
148,1584.36,1.48617,1.59778,1.68705,0.47875,0.56525,0.56419,0.18079,2.35568,1.97559,2.3964,6.6156e-06,6.6156e-06,6.6156e-06
149,1593.68,1.42841,1.58888,1.61679,0.4886,0.58909,0.56386,0.17744,2.34919,1.97499,2.39321,5.1504e-06,5.1504e-06,5.1504e-06
150,1602.96,1.46558,1.58364,1.63461,0.48643,0.58909,0.56666,0.18354,2.35366,1.97175,2.39158,3.6852e-06,3.6852e-06,3.6852e-06
