epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,690.509,1.7472,1.99905,1.8246,0.55499,0.41584,0.38044,0.11106,2.2673,2.09374,2.37901,0.000194422,0.000194422,0.000194422
71,700.464,1.74152,2.02369,1.80565,0.46739,0.37186,0.36154,0.11524,2.21355,2.11109,2.34266,0.000192066,0.000192066,0.000192066
72,710.423,1.78882,2.003,1.80659,0.41859,0.4087,0.35463,0.11843,2.20773,2.1201,2.30683,0.00018971,0.00018971,0.00018971
73,720.214,1.75407,1.98082,1.7932,0.45404,0.39946,0.3814,0.12814,2.23384,2.05727,2.30232,0.000187354,0.000187354,0.000187354
74,730.06,1.75518,2.02641,1.7908,0.46577,0.43859,0.37253,0.12808,2.29179,2.13683,2.34443,0.000184997,0.000184997,0.000184997
75,739.841,1.73827,1.94804,1.79276,0.48566,0.37422,0.36338,0.11279,2.32669,2.12951,2.38191,0.000182641,0.000182641,0.000182641
76,749.501,1.78248,2.00557,1.78725,0.56656,0.39293,0.37052,0.11792,2.31425,2.11993,2.3734,0.000180285,0.000180285,0.000180285
77,759.346,1.73389,1.94954,1.77154,0.58822,0.38273,0.36652,0.12374,2.27058,2.09265,2.33182,0.000177929,0.000177929,0.000177929
78,769.076,1.70976,1.92827,1.75797,0.5005,0.42003,0.35064,0.11007,2.3093,2.12147,2.37204,0.000175573,0.000175573,0.000175573
79,778.78,1.73171,1.85312,1.75776,0.547,0.3692,0.33129,0.09504,2.30495,2.15868,2.40429,0.000173216,0.000173216,0.000173216
80,788.433,1.72247,1.86463,1.7392,0.54129,0.4275,0.37608,0.11599,2.32452,2.0771,2.3532,0.00017086,0.00017086,0.00017086
81,798.183,1.73636,1.96053,1.75951,0.55709,0.41159,0.39102,0.12067,2.2927,2.11527,2.31487,0.000168504,0.000168504,0.000168504
82,808.133,1.69632,1.86981,1.74489,0.71928,0.28702,0.31904,0.10939,2.29604,2.09976,2.34863,0.000166148,0.000166148,0.000166148
83,817.568,1.70973,1.91458,1.76384,0.56288,0.32677,0.34439,0.11634,2.31073,2.10292,2.33113,0.000163792,0.000163792,0.000163792
84,827.57,1.72724,1.90994,1.77276,0.55838,0.34277,0.34375,0.1093,2.28461,2.10875,2.34214,0.000161435,0.000161435,0.000161435
85,837.478,1.72543,1.93279,1.73911,0.52068,0.36535,0.34015,0.10703,2.31935,2.09093,2.34529,0.000159079,0.000159079,0.000159079
86,847.392,1.65132,1.84205,1.72444,0.46879,0.42391,0.36326,0.11402,2.28566,2.05432,2.32013,0.000156723,0.000156723,0.000156723
87,857.12,1.7201,1.87244,1.76411,0.51009,0.41485,0.36999,0.12913,2.25096,1.99467,2.30894,0.000154367,0.000154367,0.000154367
88,866.914,1.70752,1.90073,1.75714,0.52368,0.38432,0.36372,0.12394,2.29471,2.07405,2.34912,0.000152011,0.000152011,0.000152011
89,876.873,1.69838,1.86607,1.75694,0.57007,0.41355,0.38631,0.12963,2.27816,2.06545,2.36628,0.000149654,0.000149654,0.000149654
90,886.5,1.67358,1.82729,1.75129,0.58386,0.36535,0.37938,0.12484,2.25057,2.0239,2.33493,0.000147298,0.000147298,0.000147298
